"case","t","angle","depth","speed","FxN","FzN","workJ","meanAbsFxN","massKg","massError","kineticJ","comZ","spanX","nonfinite"
"Blade","0.100","30.0","0.100","0.000","-0.0000","-0.0000","0.00000","0.0000","179.200003","0.000000000","4.11760","0.18895","0.69858","0"
"Blade","0.600","30.0","0.100","0.000","-0.0000","-0.0000","0.00000","0.0000","179.200003","0.000000000","1.26908","0.13067","0.87199","0"
"Blade","1.100","30.0","0.100","0.050","-0.0000","-0.0000","0.00000","0.0000","179.200003","0.000000000","0.12897","0.11162","0.94348","0"
"Blade","1.700","30.0","0.100","0.050","-0.0000","-0.0000","0.00000","0.0000","179.200003","0.000000000","0.02017","0.10448","0.98257","0"
"Blade","2.300","30.0","0.100","0.050","-0.0000","-0.0000","0.00000","0.0000","179.200003","0.000000000","0.00461","0.10162","1.00352","0"
"Blade","2.900","30.0","0.100","0.050","-0.0000","-0.0000","0.00000","0.0000","179.200003","0.000000000","0.00177","0.10017","1.01665","0"
"Blade","3.500","30.0","0.100","0.050","-0.0000","-0.0000","0.00000","0.0000","179.200003","0.000000000","0.00100","0.09924","1.02600","0"
"Blade","4.100","30.0","0.100","0.050","-0.0000","-0.0000","0.00000","0.0000","179.200003","0.000000000","0.00066","0.09854","1.03456","0"
"Blade","4.700","30.0","0.100","0.050","-0.0000","-0.0000","0.00000","0.0000","179.200003","0.000000000","0.00045","0.09798","1.04211","0"
"Blade","5.300","30.0","0.100","0.050","-0.0000","-0.0000","0.00000","0.0000","179.200003","0.000000000","0.00030","0.09751","1.04776","0"
"Blade","5.900","30.0","0.100","0.050","-0.0000","-0.0000","0.00000","0.0000","179.200003","0.000000000","0.00021","0.09713","1.05224","0"
"Blade","6.500","30.0","0.100","0.050","-0.0000","-0.0000","0.00000","0.0000","179.200003","0.000000000","0.00015","0.09681","1.05608","0"
"Blade","7.100","30.0","0.100","0.050","-0.0000","-0.0000","0.00000","0.0000","179.200003","0.000000000","0.00012","0.09654","1.05945","0"
"Blade","7.700","30.0","0.100","0.050","-0.0000","-0.0000","0.00000","0.0000","179.200003","0.000000000","0.00009","0.09630","1.06254","0"
"Blade","8.200","30.0","0.100","0.000","-0.0000","-0.0000","0.00000","0.0000","179.200003","0.000000000","0.00008","0.09613","1.06486","0"
"Blade","8.700","30.0","0.100","0.000","-0.0000","-0.0000","0.00000","0.0000","179.200003","0.000000000","0.00006","0.09596","1.06702","0"
"Blade","9.200","30.0","0.100","0.000","-0.0000","-0.0000","0.00000","0.0000","179.200003","0.000000000","0.00005","0.09582","1.06911","0"
